Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-01-04,2016,1,4,Monday,01,2016-01,66.97,67.51,66.33,67.47,3896700,48.93,0.0,48.93,48.93
2016-01-05,2016,1,5,Tuesday,01,2016-01,67.29,68.12,66.25,68.05,2476000,49.35,0.008596385478299107,49.14,49.14
2016-01-06,2016,1,6,Wednesday,01,2016-01,67.57,68.87,67.33,68.47,2670700,49.66,0.006172147201223943,49.31333333333333,49.31333333333333
2016-01-07,2016,1,7,Thursday,01,2016-01,67.67,68.71,67.6,68.51,4011800,49.69,0.0005840603680125067,49.4075,49.4075
2016-01-08,2016,1,8,Friday,01,2016-01,68.48,69.9,68.38,69.52,5391500,50.42,0.014742466714057212,49.61,49.61
2016-01-11,2016,1,11,Monday,02,2016-02,69.59,69.93,69.31,69.41,3989700,50.34,-0.001582417948243653,49.73166666666666,49.73166666666666
2016-01-12,2016,1,12,Tuesday,02,2016-02,69.64,69.88,68.51,68.9,4318300,49.97,-0.007347342416756386,49.76571428571429,49.76571428571429
2016-01-13,2016,1,13,Wednesday,02,2016-02,69.04,69.49,68.86,69.02,3646500,50.06,0.0017410929776628947,49.8025,49.8025
2016-01-14,2016,1,14,Thursday,02,2016-02,68.97,69.97,68.85,69.67,3265900,50.53,0.009417812003459813,49.88333333333333,49.88333333333333
2016-01-15,2016,1,15,Friday,02,2016-02,69.0,69.44,68.18,68.88,3964200,49.96,-0.011339286138954074,49.891000000000005,49.891000000000005
2016-01-19,2016,1,19,Tuesday,03,2016-03,69.23,70.06,68.69,69.9,3037000,50.69,0.014808671876879176,49.96363636363637,49.96363636363637
2016-01-20,2016,1,20,Wednesday,03,2016-03,69.45,69.75,67.94,68.73,3773800,49.85,-0.01673820133262993,49.95416666666667,49.95416666666667
2016-01-21,2016,1,21,Thursday,03,2016-03,69.05,69.05,67.97,68.49,2268700,49.67,-0.0034921769252297397,49.932307692307695,49.932307692307695
2016-01-22,2016,1,22,Friday,03,2016-03,69.14,69.83,68.52,69.76,2118000,50.59,0.018542941486054065,49.979285714285716,49.979285714285716
2016-01-25,2016,1,25,Monday,04,2016-04,69.79,70.14,69.27,69.56,2287300,50.45,-0.0028669033899626495,50.087857142857146,50.010666666666665
2016-01-26,2016,1,26,Tuesday,04,2016-04,69.58,70.56,69.44,69.72,2075500,50.56,0.0023000110626170134,50.174285714285716,50.045
2016-01-27,2016,1,27,Wednesday,04,2016-04,69.61,70.12,69.17,69.71,2320200,50.56,-0.0001431897794182957,50.238571428571426,50.075294117647054
2016-01-28,2016,1,28,Thursday,04,2016-04,69.7,71.51,69.43,70.94,3579600,51.45,0.017644367361395075,50.364285714285714,50.15166666666667
2016-01-29,2016,1,29,Friday,04,2016-04,71.48,72.2,71.03,72.17,3498500,52.34,0.017338515674590216,50.501428571428576,50.26684210526316
2016-02-01,2016,2,1,Monday,05,2016-05,70.27,71.42,69.94,70.18,10798600,50.9,-0.027573643154920502,50.541428571428575,50.298500000000004
2016-02-02,2016,2,2,Tuesday,05,2016-05,69.24,70.11,68.62,69.89,6008700,50.69,-0.004132405147934892,50.59285714285714,50.31714285714286
2016-02-03,2016,2,3,Wednesday,05,2016-05,70.05,70.42,69.28,69.93,5527100,50.72,0.0005724195812952804,50.64,50.33545454545455
2016-02-04,2016,2,4,Thursday,05,2016-05,70.07,71.16,69.62,70.43,4016100,51.08,0.007150173500507284,50.67928571428571,50.367826086956526
2016-02-05,2016,2,5,Friday,05,2016-05,70.34,71.43,69.69,71.06,3758900,51.54,0.008944950771180293,50.792142857142856,50.416666666666664
2016-02-08,2016,2,8,Monday,06,2016-06,70.13,70.89,69.08,69.49,5684700,50.4,-0.022093875172114585,50.771428571428565,50.416000000000004
2016-02-09,2016,2,9,Tuesday,06,2016-06,69.49,70.87,69.16,70.43,4020500,51.08,0.013527093091942,50.85928571428571,50.441538461538464
2016-02-10,2016,2,10,Wednesday,06,2016-06,70.18,70.74,69.05,70.29,3266600,50.98,-0.001988107055618027,50.95285714285715,50.461481481481485
2016-02-11,2016,2,11,Thursday,06,2016-06,69.95,70.49,69.11,69.21,2868700,50.19,-0.01536475877619814,50.92428571428571,50.45178571428572
2016-02-12,2016,2,12,Friday,06,2016-06,69.34,69.64,68.45,68.94,2942500,50.0,-0.003901072610671852,50.89214285714286,50.436206896551724
