iter	Passed	Remaining
0	43	43416
1	70	35317
2	105	35098
3	132	32944
4	162	32273
5	189	31476
6	218	30997
7	248	30831
8	275	30357
9	306	30387
10	337	30327
11	367	30243
12	394	29941
13	423	29807
14	452	29691
15	483	29707
16	509	29468
17	540	29461
18	570	29451
19	603	29548
20	631	29421
21	662	29471
22	689	29288
23	719	29269
24	748	29189
25	776	29078
26	802	28909
27	829	28783
28	854	28620
29	880	28469
30	905	28317
31	934	28279
32	959	28125
33	986	28027
34	1013	27954
35	1038	27816
36	1065	27733
37	1092	27651
38	1117	27529
39	1144	27467
40	1171	27407
41	1197	27314
42	1225	27270
43	1252	27212
44	1281	27200
45	1312	27216
46	1340	27177
47	1369	27160
48	1399	27153
49	1429	27155
50	1461	27192
51	1487	27120
52	1514	27066
53	1540	26992
54	1566	26921
55	1592	26842
56	1620	26810
57	1645	26727
58	1670	26647
59	1695	26568
60	1723	26529
61	1750	26486
62	1776	26414
63	1801	26347
64	1828	26301
65	1854	26245
66	1879	26176
67	1904	26108
68	1929	26037
69	1954	25969
70	1980	25908
71	2006	25862
72	2031	25798
73	2058	25757
74	2083	25696
75	2112	25681
76	2140	25656
77	2169	25649
78	2200	25649
79	2232	25673
80	2261	25658
81	2291	25651
82	2324	25684
83	2360	25741
84	2391	25738
85	2418	25704
86	2444	25656
87	2472	25628
88	2501	25601
89	2531	25597
90	2562	25594
91	2589	25552
92	2615	25512
93	2645	25495
94	2671	25453
95	2701	25436
96	2731	25428
97	2760	25407
98	2788	25376
99	2817	25356
100	2845	25331
101	2874	25308
102	2901	25268
103	2931	25253
104	2956	25198
105	2981	25141
106	3007	25103
107	3033	25051
108	3058	25001
109	3083	24949
110	3108	24896
111	3135	24860
112	3162	24823
113	3188	24783
114	3218	24765
115	3247	24747
116	3272	24694
117	3299	24659
118	3326	24630
119	3351	24580
120	3378	24542
121	3405	24508
122	3431	24468
123	3456	24419
124	3484	24390
125	3514	24381
126	3548	24389
127	3583	24409
128	3610	24379
129	3639	24359
130	3669	24340
131	3699	24328
132	3731	24328
133	3759	24297
134	3785	24255
135	3811	24216
136	3838	24181
137	3866	24150
138	3893	24119
139	3921	24091
140	3949	24062
141	3975	24020
142	4000	23976
143	4026	23936
144	4056	23922
145	4083	23883
146	4109	23845
147	4134	23801
148	4162	23771
149	4186	23724
150	4213	23687
151	4241	23665
152	4268	23628
153	4302	23637
154	4335	23633
155	4363	23606
156	4393	23588
157	4421	23560
158	4446	23521
159	4475	23494
160	4502	23462
161	4530	23435
162	4557	23402
163	4585	23374
164	4618	23372
165	4645	23341
166	4676	23326
